Food Name,Food Code,Description,Group,Group (sub-class),Comments,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Total Nitrogen (g),NSP (g),Fibre (g),Fat (g),Starch (g),Water (g),Total Phytosterols (mg),Description Footnote,Citric acid (g),Malic acid (g),Alcohol (g),Alpha-carotene (µg),Beta-carotene (µg),Cryptoxanthins (µg),Lutein (µg),Lycopene (µg),Carotene (µg),Satd FA (/100g FA g),Satd FA /100g fd (g),n-6 poly (/100g FA g),n-6 poly (/100g food g),n-3 poly (/100g FA g),n-3 poly (/100g food g),cis-Mono FA (/100g FA g),cis-Mono FA (/100g food g),Mono FA (/100g FA g),Mono FA (/100g food g),cis-Polyu FA (/100g FA g),cis-Poly FA (/100g food g),Poly FA (/100g FA g),Poly FA (/100g food g),Sat FA excl Br (/100g FA g),Sat FA excl Br (/100g food g),Branched chain FA (/100g FA g),Branched chain FA (/100g food g),ans FAs (/100g FA g),ans FAs (/100g food g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Other Cholesterol and Phytosterols (mg),Phytosterol (mg),Beta-sitosterol (mg),Brassicasterol (mg),Campesterol (mg),Delta-5-avenasterol (mg),Delta-7-avenasterol (mg),Delta-7-stigmastenol (mg),Stigmasterol (mg),Cholesterol (mg),Oligosaccharide (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),All-trans-retinol (µg),13-cis-retinol (µg),Dehydroretinol (µg),Retinaldehyde (µg),Retinol Equivalent (µg),Retinol (µg),5-mehtyl folate (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),25-hydroxy vitamin D3 (µg),Cholecalciferol (µg),Vitamin D (µg),Alpha-tocopherol (mg),Beta-tocopherol (mg),Delta-tocopherol (mg),Gamma-tocopherol (mg),Alpha-tocotrienol (mg),Delta-tocotrienol (mg),Gamma-tocotrienol (mg),Vitamin E (mg),Vitamin K1 (µg)
Class,,,,,,,,,,,,,,,,,,Acids,Acids,Alcohol,Carotenoids,Carotenoids,Carotenoids,Carotenoids,Carotenoids,Carotenoids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Fatty Acids,Minerals,Minerals,Minerals,Minerals,Minerals,Minerals,Minerals,Minerals,Minerals,Minerals,Minerals,Minerals,Phytosterols and Cholesterol,Phytosterols and Cholesterol,Phytosterols and Cholesterol,Phytosterols and Cholesterol,Phytosterols and Cholesterol,Phytosterols and Cholesterol,Phytosterols and Cholesterol,Phytosterols and Cholesterol,Phytosterols and Cholesterol,Phytosterols and Cholesterol,Sugars,Sugars,Sugars,Sugars,Sugars,Sugars,Sugars,Vitamin A,Vitamin A,Vitamin A,Vitamin A,Vitamin A,Vitamin A,Vitamin B,Vitamin B,Vitamin B,Vitamin B,Vitamin B,Vitamin B,Vitamin B,Vitamin B,Vitamin B,Vitamin B,Vitamin B,Vitamin C,Vitamin D,Vitamin D,Vitamin D,Vitamin E,Vitamin E,Vitamin E,Vitamin E,Vitamin E,Vitamin E,Vitamin E,Vitamin E,Vitamin K
"Beer, mild, draught",17-215,Mixed sample from different brewers,Alcoholic beverages ,QA,"As MSF 17-215 - Mild, draught. Additional data from 50-1097",24,0.2,1.55,1.55,0.03,0,0,0,0,95,0,,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,10,8,12,0,0.05,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0.03,0,0.1,0,0.02,0,5,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beer, bitter, average",17-506,"5 samples from different brewers; canned, draught and bottled",Alcoholic beverages ,QA,"Miscellaneous foods supplement 17-207 and folate data from LGC, Individual folates in foodstuffs, 1996, food surveillance information sheet No.92. Vitamin K1 Bolton-Smith et al Br.J. Nutr. 83, 2000.",30,0.3,2.15,2.15,0.05,0,0,0,0,93.9,0,,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,8,7,14,0.1,0.01,0.1,24,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,3,0,0.03,0.2,0.2,0.4,0.07,0,5,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Strong ale/barley wine,17-221,Mixed sample from different brewers,Alcoholic beverages ,QA,As MSF 17-221. Additional data from 50-1103,66,0.7,5.95,5.95,0.11,0,0,0,0,86.3,0,,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,110,14,20,40,0,0.08,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0.06,0.8,0.4,0,0.04,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pale ale, bottled",17-216,Mixed sample from different brewers,Alcoholic beverages ,QA,As MSF 17-216,28,0.3,1.95,1.95,0.05,0,0,0,0,93.9,0,,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,49,9,10,15,0,0.04,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0.02,0.4,0.2,0,0.01,0,4,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brown ale, bottled",17-210,Mixed sample from different brewers,Alcoholic beverages ,QA,As MSF 17-210. Additional data from 50-1098,30,0.3,2.95,2.95,0.04,0,0,0,0,93.3,0,,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,7,6,11,0,0.07,0.3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0.1,2.1,0,0,0,0,0,0,0,0,0,0.02,0.3,0.1,0,0.01,0,4,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cider, dry",17-222,3 samples of different brands,Alcoholic beverages ,QC,As MSF 17-222. Additional values from 50-1104,36,0,2.55,2.55,0,0,0,0,0,92.5,0,,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,72,8,3,3,0.5,0.04,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.5,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sherry, sweet",17-237,1 sample,Alcoholic beverages ,QF,As MSF 17-237. Additional data from 50-1116,136,0.3,6.9,6.9,0.05,0,0,0,0,74.8,0,,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,110,7,11,10,0.4,0.11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sherry, medium",17-236,"8 samples; including Spanish, British, Cyprus, own label",Alcoholic beverages ,QF,As MSF 17-236. Additional data from 50-1115,116,0.1,5.9,5.9,0.02,0,0,0,0,78.8,0,,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,55,8,5,24,0.4,0.04,0,10,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.02,0,0,0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sherry, dry",17-235,1 sample,Alcoholic beverages ,QF,As MSF 17-235. Additional data from 50-1114,116,0.2,1.4,1.4,0.03,0,0,0,0,81,0,,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,57,7,13,11,0.4,0.03,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port,17-234,2 samples,Alcoholic beverages ,QF,As MSF 17-234. Additional data from 50-1113,157,0.1,11.95,11.95,0.02,0,0,0,0,71.1,0,,0,0,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,97,4,11,12,0.4,0.1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,4.6,2.8,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advocaat,17-241,4 samples of different brands,Alcoholic beverages ,QI,As MSF 17-241 with additional values from 50-1119,260,4.7,27.75,27.75,0.75,0,0,6.3,0,47.6,0,,0,0,12.8,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,3,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1.7,0,0,26.7,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vermouth, dry",17-239,5 samples of different brands,Alcoholic beverages ,QG,As MSF 17-239. Additional data from 50-1117,109,0.1,3,3,0.01,0,0,0,0,82.1,0,,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,7,6,6,0.3,0.03,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,1.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"White wine, sweet",17-233,Mixed sample from different countries,Alcoholic beverages ,QE,As MSF 17-233. Additional data from 50-1112,94,0.2,5.9,5.9,0.03,0,0,0,0,80.6,0,,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,110,14,11,13,0.6,0.05,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,3.3,0.1,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"White wine, sparkling",17-232,5 samples from different countries,Alcoholic beverages ,QE,As MSF 17-232,74,0.3,5.1,5.1,0.04,0,0,0,0,85.8,0,,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,58,9,7,9,0.5,0.01,0,7,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,2.8,0.1,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.02,0,0,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"White wine, dry",17-230,5 samples from different countries,Alcoholic beverages ,QE,As MSF 17-230. Additional data from 50-1109,66,0.1,0.6,0.6,0.02,0,0,0,0,89.1,0,,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,61,9,8,6,0.5,0.01,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.02,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rose wine, medium",17-229,5 samples from different countries,Alcoholic beverages ,QE,As MSF 17-229. Additional data from 50-1108,71,0.1,2.5,2.5,0.01,0,0,0,0,87.3,0,,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,75,12,7,6,1,0.02,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red wine,17-228,Mixed sample from different countries,Alcoholic beverages ,QE,"As MSF 17-228, Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",68,0.15,0.2,0.2,0.03,0,0,0,0,88.4,0,,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,110,7,11,13,0.9,0.06,0.1,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.1,0,0,0.03,0,1,0.04,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ginger ale, dry",17-178,"10 samples, 5 brands",Beverages,PCA,MSF,15,0,3.9,3.9,0,0,0,0,0,95.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,1.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffee, infusion, average",17-152,Average of strong and weak infusions,Beverages,PAC,"As MSF 17-152, vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",2,0.2,0.3,0,0.03,0,0,0,0,98.3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,3,8,7,0.1,0,0,3,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.06
"Pineapple juice, unsweetened",14-286,"18 samples, cartons only",Beverages,PE,As FAN 14-586,41,0.3,10.4,10.4,0.05,0,0,0.1,0,87.8,0,,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,53,8,6,1,0.2,0.02,0.1,15,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,2.9,4.7,0,0,0,0,0,0,1,0,0,0.06,0.01,0.1,0.1,0,0.05,0,8,0.07,0,11,0,0,0,0,0,0,0,0,0,0,0.03,0
"Orange juice, unsweetened",14-301,"60 samples; fresh, canned, bottled and frozen",Beverages,PE,"MW5 50-1091 and  folate data from LGC, Individual folates in foodstuffs, 1996, food surveillance information sheet No.92, Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",36,0.5,8.75,8.75,0.08,0.1,0,0.1,0,89.2,0,,1,0.2,0,2,5,21,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,150,10,8,13,0.2,0,0,9,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,2.8,0,2.9,3.1,0,0,0,0,0,0,3,0,16,0.08,0.02,0.2,0.1,0,0.07,0,18,0.13,1,39,0,0,0,0.17,0,0,0.01,0,0,0,0.17,0.06
